group,image,label,nuc_area,nuc_mean,nuc_integrated,cell_area,cell_mean,cell_integrated,cyto_area,cyto_mean,cyto_integrated,saturated_px,flag_saturated,flag_area_outlier,flag_no_cyto,keep
control,PB154766,1,109744.0,0.8384037598905636,92009.78222543001,193996.0,0.6851051148182264,132907.65185427666,84252.0,0.4854231309505608,40897.869628846645,38.0,True,False,False,False
control,PB154766,2,124160.0,1.07701540622985,133722.2328374982,157328.0,0.9640025964678682,151664.60049709678,33168.0,0.5409541624336285,17942.36765959859,21215.0,True,False,False,False
control,PB154766,4,60976.0,0.7141605874450696,43546.655980050564,62736.0,0.7134526563502869,44759.1658487916,1760.0,0.6889260617846792,1212.5098687410355,0.0,False,False,True,False
control,PB154766,6,73972.0,0.45016667035665714,33299.72893962264,310452.0,0.3159928657664086,98100.61716291308,235232.0,0.27355861939148274,64349.74115669727,0.0,False,True,False,False
control,PB154766,7,58528.0,0.49473561379985204,28955.88600447774,102116.0,0.38212331193814647,39020.90412187576,43588.0,0.23091259331462843,10065.018117398024,1.0,True,False,False,False
control,PB154766,8,71328.0,0.44900885587553974,32026.903671890497,166304.0,0.31860377769562426,52985.0826458931,94976.0,0.22066815799783734,20958.1789740026,17.0,True,False,False,False
control,PB154766,9,64736.0,0.5010631406514938,32436.823473215103,227696.0,0.33999264126118817,77414.9644446075,162960.0,0.2760072470016715,44978.14097139239,0.0,False,False,False,True
control,PB154766,10,54752.0,0.6310535527070117,34551.4441178143,106240.0,0.43775821716317076,46507.43299141526,51904.0,0.23423028469967636,12157.488697052002,0.0,False,False,False,True
control,PB154766,11,50384.0,0.6242666888997437,31453.052853524685,55248.0,0.6148297564576164,33968.11438477039,5200.0,0.5119478882734592,2662.129019021988,0.0,False,False,False,True
control,PB154766,12,81008.0,0.49096242235629495,39771.88391023874,81584.0,0.4904289400323007,40011.15464359522,576.0,0.41540057874388164,239.27073335647583,0.0,False,False,True,False
control,PB154766,13,49632.0,0.5030315825247298,24966.463503867388,157152.0,0.32299651626957954,50759.54852479696,106960.0,0.23864369358987217,25525.32946637273,0.0,False,False,False,True
control,PB154766,14,62464.0,0.46702631292759716,29172.33161070943,155184.0,0.31213412636374216,48438.22226563096,92720.0,0.20778570594177664,19265.89065492153,0.0,False,False,False,True
control,PB154766,16,53104.0,0.5468800755806378,29041.519533634186,129200.0,0.4580952487290828,59185.9061357975,76096.0,0.3961362831444927,30144.386602163315,0.0,False,False,False,True
control,PB154766,17,46304.0,0.4457303946271395,20639.100192815065,159464.0,0.2790366529122123,44496.30081999302,112600.0,0.20997370086094203,23643.038716942072,0.0,False,False,False,True
control,PB154766,18,59200.0,0.5739673763191377,33978.86867809296,140684.0,0.38446141546823814,54087.569773733616,81484.0,0.24678097657995016,20108.70109564066,0.0,False,False,False,True
control,PB154766,19,59776.0,0.4652856732693718,27812.91640534997,71344.0,0.46319296433276846,33046.038847357035,12128.0,0.45154281959212866,5476.311316013336,0.0,False,False,False,True
control,PB154766,20,50608.0,0.44564794772576954,22553.351338505745,173280.0,0.27588309730237154,47805.02310055494,121968.0,0.20461885564182666,24956.952584922314,0.0,False,False,False,True
control,PB154766,21,48208.0,0.5319145731219928,25642.537741065025,67920.0,0.47197465566025326,32056.5186124444,20288.0,0.32445800944293146,6582.604095578194,0.0,False,False,False,True
control,PB154766,22,39424.0,0.6965988506237952,27462.713086992502,49696.0,0.6461978307928163,32113.4473990798,10560.0,0.4563957555247753,4819.539178341627,0.0,False,False,False,True
control,PB154766,23,39588.0,0.3813059466094986,15095.139814376831,153764.0,0.26054074752579953,40061.78750255704,114176.0,0.21866808863666803,24966.64768818021,0.0,False,False,False,True
control,PB154766,24,53920.0,0.6543390387000422,35281.960966706276,75224.0,0.6053539725563494,45537.14723157883,21304.0,0.4813737450653657,10255.186264872551,0.0,False,False,False,True
control,PB154766,25,43920.0,0.9107608450010066,40000.61631244421,100948.0,0.6975756092514039,70418.86260271072,57028.0,0.5333914268476277,30418.246290266514,2510.0,True,False,False,False
control,PB154766,26,56240.0,0.5350465056222796,30091.015476197004,126592.0,0.3716199356722161,47044.110896617174,70240.0,0.24100103055069685,16927.912385880947,0.0,False,False,False,True
control,PB154766,27,47664.0,0.5675333199641796,27050.908162772655,158016.0,0.37123613295350155,58661.2487847805,109760.0,0.286027874945834,31394.419554054737,0.0,False,False,False,True
control,PB154766,28,44928.0,0.6604795976053722,29674.02736121416,116768.0,0.5013933851130696,58546.70279288292,71552.0,0.40153407313559397,28730.56600099802,0.0,False,False,False,True
control,PB154766,29,52548.0,0.32795137992059115,17233.189112067223,86356.0,0.29496050349916964,25471.609240174294,33872.0,0.2435333330068081,8248.961055606604,0.0,False,False,False,True
control,PB154766,30,42544.0,0.46528920568820004,19795.263966798782,70816.0,0.4179904725818385,29600.413306355476,28640.0,0.34507867824182165,9883.053344845772,0.0,False,False,False,True
control,PB154766,31,39808.0,0.5070512698127789,20184.696948707104,243040.0,0.3373961394555852,82000.75773328543,203232.0,0.3041649975622851,61816.06078457832,1.0,True,True,False,False
control,PB154766,32,36624.0,0.3382663772636337,12388.66780090332,111544.0,0.21796062968568192,24312.200477659702,74904.0,0.15908090481547532,11915.796094298363,0.0,False,False,False,True
control,PB154766,33,51208.0,0.5334012517401472,27314.41129910946,182864.0,0.3676198174457768,67224.43029740453,131656.0,0.30313862640741834,39910.01899829507,0.0,False,False,False,True
control,PB154766,34,23024.0,1.1208430613553548,25806.29064464569,45488.0,0.873802608415626,39747.53305160999,22464.0,0.6206037396262599,13941.242406964302,3841.0,True,False,False,False
control,PB154766,35,48128.0,0.618291609505677,29757.13858228922,53992.0,0.6038579354188252,32603.497649133205,5768.0,0.48213445240226105,2780.9515214562416,0.0,False,False,False,True
control,PB154766,36,34248.0,0.8511385432966846,29149.792830824852,103120.0,0.5562473268998834,57360.22434991598,68968.0,0.410019334359424,28278.213452100754,0.0,False,False,False,True
control,PB154766,37,56128.0,0.4163430221962871,23368.501149833202,101808.0,0.3360690735704973,34214.52024206519,45680.0,0.23743474370035003,10846.019092231989,0.0,False,False,False,True
control,PB154766,38,45853.0,0.2779214060451099,12743.530231386423,214641.0,0.19288230993687386,41400.45188716054,167860.0,0.16931544881792074,28421.291238576174,0.0,False,False,False,True
control,PB154766,39,35104.0,0.5837764663888361,20492.8890761137,71632.0,0.46951233959152067,33632.10790961981,36528.0,0.3597026618896766,13139.218833506107,0.0,False,False,False,True
control,PB154766,40,38240.0,0.6258800771071821,23933.654148578644,142424.0,0.35910673967965373,51145.418292135,104328.0,0.2619432677333386,27328.017236083746,0.0,False,False,False,True
control,PB154766,41,34960.0,0.47513643275409323,16610.7696890831,40512.0,0.4558710811018214,18468.24923759699,5600.0,0.32347569222961153,1811.4638764858246,0.0,False,False,False,True
control,PB154766,42,33320.0,0.5716645296220304,19047.862127006054,50388.0,0.48663261545144954,24520.44422736764,17068.0,0.32063405790728766,5472.582100361586,4.0,True,False,False,False
control,PB154766,43,33424.0,0.34464589706918536,11519.444463640451,102768.0,0.21704547682717018,22305.329562574625,69344.0,0.1555417209698629,10785.885098934174,0.0,False,False,False,True
control,PB154766,44,44160.0,0.514949378873343,22740.16457104683,128816.0,0.36188591701289635,46616.696285933256,84672.0,0.2818151539390821,23861.852714329958,0.0,False,False,False,True
control,PB154766,45,41888.0,0.4777875966182572,20013.566847145557,89188.0,0.3864531085725835,34466.97984737158,47540.0,0.3052949855156591,14513.723611414433,0.0,False,False,False,True
