field,exposure_s,time,n_nuclei,n_kept,pct_saturated_cells,cyto_mean,cyto_median,cell_mean,raw8_mean
PB154766,0.7692307692307693,17:11:22,125,95,13.600000000000001,0.6452016932351556,0.6191130799927752,0.7270938206725007,168.2620514292776
PB154769,0.625,17:11:43,129,62,33.33333333333333,0.8600413260431305,0.8741195871437681,0.9629821513783436,174.9473483238691
PB154796,0.7692307692307693,17:23:33,63,34,36.507936507936506,0.6347600397550115,0.6222104064311145,0.7210235148846336,158.85236324106225
PB154799,0.625,17:25:00,127,55,36.22047244094488,0.8791602355083536,0.8653903893718962,0.9889560590569878,168.8623361469787
PB154802,0.625,17:26:59,135,68,30.37037037037037,0.8889926732370632,0.8693125221561877,0.9981440534614298,174.94384457937483
PB154805,0.7692307692307693,17:27:27,110,45,47.27272727272727,0.7307789585332123,0.716340710508561,0.8183628667593107,171.73446196881832
PB154808,0.625,17:28:31,147,93,8.843537414965986,0.7423542842502945,0.7237805342077438,0.8271243119527002,159.18345271608956
PB154811,0.7692307692307693,17:29:22,105,67,27.61904761904762,0.6369263864349827,0.6093439985625664,0.7378281561312628,162.72393196011768
PB154814,0.7692307692307693,17:30:17,98,54,24.489795918367346,0.7006979065363664,0.6911937928078473,0.7922611217874406,167.54285873601467
PB154817,0.7692307692307693,17:30:38,98,44,39.795918367346935,0.6968836731503317,0.6906618867355205,0.7903377080901165,167.1203153633777
PB154820,0.625,17:31:17,100,23,70.0,0.7776505206857108,0.7919430951643844,0.9085568924024752,166.8777030662254
PB154823,0.7692307692307693,17:31:54,96,22,60.416666666666664,0.7064242494007886,0.6648822568747339,0.7918548789725214,170.37866826312532
