condition,rep,field,label,nuc_area,nuc_perimeter,nuc_equivalent_diameter_area,nuc_solidity,nuc_eccentricity,nuc_axis_major_length,nuc_axis_minor_length,nuc_feret_diameter_max,nuc_circularity,nuc_aspect,cell_area,cell_perimeter,cell_equivalent_diameter_area,cell_solidity,cell_eccentricity,cell_axis_major_length,cell_axis_minor_length,cell_feret_diameter_max,cell_circularity,cell_aspect,cell_nuc_area_ratio,blue_nuc_mean,blue_nuc_integrated,blue_cell_mean,blue_cell_integrated,blue_cell_cv,blue_cyto_mean,blue_cyto_integrated,cyto_area,blue_nc_ratio,green_nuc_mean,green_nuc_integrated,green_cell_mean,green_cell_integrated,green_cell_cv,green_cyto_mean,green_cyto_integrated,green_nc_ratio,red_nuc_mean,red_nuc_integrated,red_cell_mean,red_cell_integrated,red_cell_cv,red_cyto_mean,red_cyto_integrated,red_nc_ratio,green_saturated_px,red_saturated_px,flag_area_outlier,flag_no_cyto,flag_saturated,keep_shape,keep_intensity
control1_health,1,PB154766,1,109664.0,1466.3919189857866,373.669026591497,0.9761273209549072,0.5108856761476568,403.7094080419759,347.04825335913074,410.7578362003578,0.6408757364106819,1.1632659266670082,193916.0,2131.830519165799,496.89185901649046,0.9504754435839624,0.46141362835092353,532.8815368210672,472.76457812566423,552.0769873849117,0.5361893180022212,1.1271604546468865,1.7682740005836008,4.351126901611908,477161.9805383682,3.466632175753914,672235.4449934959,0.30749970506377805,2.3153570770441974,195073.46445512772,84252.0,1.8792465942949024,1.1570687798996786,126888.79067891836,1.0035251817552093,194599.58914524317,0.2100016417502298,0.8036699243498647,67710.7984663248,1.4397313434812167,0.5349092779315298,58660.291055083275,0.5607471449951933,108737.8433688879,0.13909179463782106,0.5943782024617176,50077.55231380463,0.8999476692047467,38.0,0.0,False,False,True,True,False
control1_health,1,PB154766,2,124448.0,1877.889393668845,398.06044121866915,0.8682135930458078,0.5101916782824115,450.06263161035076,387.08119342759875,500.3838526571376,0.4434633846923027,1.1627085977106049,157392.0,2060.3330444827407,447.65803737334676,0.8616664841782546,0.4563254893794801,492.4463801903516,438.18515569105875,556.9820463892889,0.4659267682572346,1.1238317268272537,1.2647210079712008,4.879351087669368,607225.4841582775,4.387857200476931,690613.6204974651,0.2915653928825683,2.531208606701907,83388.13633918762,32944.0,1.9276763972555486,1.3945959254636628,173554.67373210192,1.2825050322675795,201856.03203865886,0.31027706382803577,0.8590747421854341,28301.35830655694,1.623369722075515,0.9627382544449568,119810.85028916597,0.9280371969318457,146065.63049949706,0.39949795644264147,0.796951803373333,26254.780210331082,1.208025692858569,21215.0,26821.0,False,False,True,True,False
control1_health,1,PB154766,4,60896.0,1062.8944443027283,278.4514236203372,0.9801068692461211,0.2696881003650396,284.00679074721654,273.4836941315668,290.5116176678654,0.6773581437036036,1.0384779672114102,62656.0,1077.7228714274745,282.4466266658647,0.9779303886374278,0.06916830956030424,283.03157869628564,282.3537193317332,293.10237119477557,0.677888600368307,1.0024007452997494,1.0289017341040463,4.392168751298692,267465.50827908516,4.35862233388153,273093.84095168114,0.10578066318080537,3.1979162912477146,5628.332672595978,1760.0,1.3734470671791794,1.0332371413314259,62920.008958518505,1.0325141682111647,64693.20772343874,0.18286595373500464,1.0074992982501334,1773.1987649202347,1.0255462640281685,0.6217011748521901,37859.11474379897,0.6214266370356928,38936.107370108366,0.09198684447170544,0.6119276285848835,1076.9926263093948,1.0159717355627633,0.0,4.0,False,True,True,False,False
control1_health,1,PB154766,6,73892.0,1243.6223663640862,306.7282452588458,0.9592377193893447,0.71517738778594,370.90461320108636,259.24117954913123,382.79237191981764,0.6003855584367838,1.4307318530418611,310436.0,6810.704760932994,628.6965812770139,0.4639272627281259,0.7873131830685575,1123.5254934439897,692.7133324176317,1329.6334081242092,0.08410035600401353,1.6219198344613708,4.201212580522926,4.054563895312358,299599.8353524208,2.7457656293501094,852384.4989129305,0.2887596328615706,2.332189600858231,548792.199357152,235312.0,1.7385224142240858,0.7688611566101647,56812.68858423829,0.6345898185499551,196999.52491137385,0.15883891357039437,0.5921877397959765,139348.88142687082,1.2983402136542994,0.4872979713390194,36007.42169818282,0.5326268367639617,165346.54469765723,0.13217904702674993,0.5471743989270149,128756.70216031373,0.8905715842966876,0.0,3.0,True,False,True,False,False
control1_health,1,PB154766,7,58336.0,1050.4091629284899,272.5356895558276,0.9698098151349913,0.6087967804796743,306.8036138134984,243.39534905134013,313.82319863260585,0.66439982276387,1.2605155152277923,101940.0,1498.2497833620557,360.26939807635966,0.9457804497884659,0.6064988424593315,408.63485529638314,324.89918614343685,431.2365939945264,0.5706713189447891,1.257728159146507,1.7474629731212288,4.120204547310817,240356.25247192383,3.3783549807259727,344389.50673520565,0.2705123479235286,2.3858649266875016,104033.25426328182,43604.0,1.7269228032247603,0.8138743454234871,47478.17381462455,0.701046633716305,71464.69384104013,0.2497288957234287,0.5500990740853038,23986.520026415586,1.4795050269386196,0.5279176668843814,30796.60501536727,0.5528460040440016,56357.12165224552,0.1544700578510656,0.5861966020749989,25560.516636878252,0.9005812470008804,1.0,0.0,False,False,True,True,False
control1_health,1,PB154766,8,71136.0,1261.5218613006978,300.9537643131924,0.9306365943640598,0.7556387654105047,376.6699955742897,246.7145502105117,385.3517873320429,0.5617068797991858,1.5267441472458443,166096.0,2126.274169979695,459.8695417423637,0.8774220813523508,0.5312157775786788,510.5288419996749,432.538702603523,577.7586001090767,0.4616687844738482,1.180307886731791,2.334907782276203,3.934888760168382,279912.246843338,3.033688374139299,503883.504191041,0.2767662656981292,2.358585271142618,223971.25734770298,94960.0,1.6683258427464542,0.7679243872873904,54627.069214075804,0.6373134779185559,105855.21942836046,0.2483105002175521,0.5394708320796615,51228.15021428466,1.4234771216954212,0.5655926571454262,40233.99925869703,0.575008035957987,95506.5347404778,0.15289652604881102,0.582061241383538,55272.53548178077,0.9717064407192504,17.0,1.0,False,False,True,True,False
control1_health,1,PB154766,9,64880.0,1287.078210486802,287.4156948783719,0.8902549466231235,0.22249427402141364,307.77780364412234,300.0630442190829,347.3326935374786,0.4921651170859822,1.0257104617635178,228000.0,4062.8498551495554,538.7936675570872,0.6450189262132296,0.6812754291980266,749.527646054703,548.6746076974812,819.6371148258233,0.17357339773783387,1.3660694982771369,3.5141800246609125,4.073602147251552,264295.30731368065,2.892383333524591,659463.4000436068,0.278696057921275,2.4225606469465797,395168.0927299261,163120.0,1.6815274170270873,0.8192668155662522,53154.030993938446,0.6585179979454792,150142.10353156924,0.2064595010594698,0.5945811214911157,96988.0725376308,1.3778890481952406,0.5042583752699132,32716.28338751197,0.5372480308204366,122492.55102705956,0.115796994979238,0.5503694681188548,89776.26763954759,0.9162179308264541,0.0,0.0,False,False,False,True,True
control1_health,1,PB154766,10,54432.0,1018.9949493661167,263.25838049153225,0.968196371398079,0.5272025698501537,286.44176284834754,243.40091952616234,290.38767191463205,0.6587491882840104,1.1768310629473973,105872.0,1516.350288425444,367.1517630084338,0.9332534113747752,0.4846710569077381,396.1998654440552,346.55463548745206,417.6086684924057,0.5786179534868109,1.1432536889508744,1.9450323339212228,4.726318485977929,257262.9678287506,3.465928104002796,366944.740226984,0.40751049420050345,2.139442069152439,110908.67686486244,51840.0,2.2091359958394694,0.9510286442529211,51766.391163975,0.7569967292579114,80144.75771999359,0.33328865913128314,0.5536318180582451,28700.27344813943,1.7177998323659707,0.6126408397336696,33347.2661883831,0.629352799469955,66630.83958548307,0.2287195903535106,0.647495242840622,33566.15338885784,0.946170410528357,0.0,0.0,False,False,False,True,True
control1_health,1,PB154766,11,50256.0,989.9238815542512,252.95834945739654,0.9558734023128423,0.43658564244889125,267.9476461712257,241.062503265187,292.5149568825499,0.6444573481714025,1.1115276849027949,55120.0,1045.3380951166241,264.91689962288586,0.9555178032798253,0.32729212020039433,274.0542800762514,258.9602493562378,299.06019460971396,0.6338777645791942,1.0582870566333507,1.0967844635466413,4.172945882011393,209715.5682463646,4.051883889460079,223339.83998703957,0.13211322322403707,2.8393073107646063,14764.398015975952,5200.0,1.4697056096008314,0.9434644878634086,47414.751302063465,0.9339832693651989,51481.15780740976,0.15695711331595566,0.8308681924182635,4320.51460057497,1.135516435064665,0.48152443260874805,24199.49188518524,0.4867302972298921,26828.573983311653,0.09255427588883276,0.5352946122850363,2783.531983882189,0.8995503066119851,0.0,0.0,False,False,False,True,True
control1_health,1,PB154766,12,80832.0,1365.3208511739213,320.8091315409096,0.9490888596656021,0.8516228042507313,447.48478784813915,234.55144670994545,441.27655727446023,0.5449087012870604,1.9078321371494866,81424.0,1387.5634918610403,321.98176453103036,0.9347262082424521,0.8516743321693964,449.3148905449243,235.47308356833685,441.27655727446023,0.531442849841931,1.908136945998451,1.0073238321456848,4.025022400323352,325350.61066293716,4.018073553791518,327167.6210439205,0.08026658528231216,3.069274292201609,1817.0103809833527,592.0,1.3113922110350649,0.8099461170621305,65469.56453436613,0.809392790471314,65903.99857133627,0.1304665465155189,0.7338412786657745,434.43403697013855,1.103707491809026,0.49883548467606603,40321.86989733577,0.4988471249528017,40618.128302156925,0.1269937447326837,0.5004364946303336,296.25840482115746,0.9968007729822939,0.0,0.0,False,True,False,False,False
