condition,rep,field,label,nuc_area,nuc_perimeter,nuc_equivalent_diameter_area,nuc_solidity,nuc_eccentricity,nuc_axis_major_length,nuc_axis_minor_length,nuc_feret_diameter_max,nuc_circularity,nuc_aspect,cell_area,cell_perimeter,cell_equivalent_diameter_area,cell_solidity,cell_eccentricity,cell_axis_major_length,cell_axis_minor_length,cell_feret_diameter_max,cell_circularity,cell_aspect,cell_nuc_area_ratio,blue_nuc_mean,blue_nuc_integrated,blue_cell_mean,blue_cell_integrated,blue_cell_cv,blue_cyto_mean,blue_cyto_integrated,cyto_area,blue_nc_ratio,green_nuc_mean,green_nuc_integrated,green_cell_mean,green_cell_integrated,green_cell_cv,green_cyto_mean,green_cyto_integrated,green_nc_ratio,red_nuc_mean,red_nuc_integrated,red_cell_mean,red_cell_integrated,red_cell_cv,red_cyto_mean,red_cyto_integrated,red_nc_ratio,green_saturated_px,red_saturated_px,flag_area_outlier,flag_no_cyto,flag_saturated,keep_shape,keep_intensity
control1_health,1,PB154766,1,109664.0,1466.3919189857866,373.669026591497,0.9761273209549072,0.5108856761476568,403.7094080419759,347.04825335913074,410.7578362003578,0.6408757364106819,1.1632659266670082,193916.0,2131.830519165799,496.89185901649046,0.9504754435839624,0.46141362835092353,532.8815368210672,472.76457812566423,552.0769873849117,0.5361893180022212,1.1271604546468865,1.7682740005836008,0.870225389130133,95432.39707356691,0.6933264416551447,134447.09025999904,0.30749970681000444,0.4630714189150658,39014.69318643212,84252.0,1.879246599086145,0.8900529301885939,97606.76453620195,0.7719424647081999,149691.9949863553,0.21000164764622767,0.6182076443307382,52085.23045015335,1.4397313562050031,0.5349092779315298,58660.291055083275,0.5607471449951933,108737.8433688879,0.13909179463782106,0.5943782024617176,50077.55231380463,0.8999476692047467,38.0,0.0,False,False,True,True,False
control1_health,1,PB154766,2,124448.0,1877.889393668845,398.06044121866915,0.8682135930458078,0.5101916782824115,450.06263161035076,387.08119342759875,500.3838526571376,0.4434633846923027,1.1627085977106049,157392.0,2060.3330444827407,447.65803737334676,0.8616664841782546,0.4563254893794801,492.4463801903516,438.18515569105875,556.9820463892889,0.4659267682572346,1.1238317268272537,1.2647210079712008,0.9758702282985161,121445.09817129374,0.877571449727441,138122.7256155014,0.2915653931084946,0.5062417266940161,16677.62744420767,32944.0,1.92767639813372,1.0727661245017113,133503.59866198897,0.9865423573821608,155273.87471309304,0.3102770703362801,0.660826737830988,21770.27605110407,1.6233697323186707,0.9627382544449568,119810.85028916597,0.9280371969318457,146065.63049949706,0.39949795644264147,0.796951803373333,26254.780210331082,1.208025692858569,21215.0,26821.0,False,False,True,True,False
control1_health,1,PB154766,4,60896.0,1062.8944443027283,278.4514236203372,0.9801068692461211,0.2696881003650396,284.00679074721654,273.4836941315668,290.5116176678654,0.6773581437036036,1.0384779672114102,62656.0,1077.7228714274745,282.4466266658647,0.9779303886374278,0.06916830956030424,283.03157869628564,282.3537193317332,293.10237119477557,0.677888600368307,1.0024007452997494,1.0289017341040463,0.878433758925394,53493.102183520794,0.8717244756079837,54618.76874369383,0.10578066194959328,0.6395832728255879,1125.6665601730347,1760.0,1.3734470494273538,0.7947978135022172,48400.00765103102,0.794241680399314,49764.00672709942,0.18286595337517048,0.7749994750388643,1363.9990760684013,1.02554626048277,0.6217011748521901,37859.11474379897,0.6214266370356928,38936.107370108366,0.09198684447170544,0.6119276285848835,1076.9926263093948,1.0159717355627633,0.0,4.0,False,True,True,False,False
control1_health,1,PB154766,6,73892.0,1243.6223663640862,306.7282452588458,0.9592377193893447,0.71517738778594,370.90461320108636,259.24117954913123,382.79237191981764,0.6003855584367838,1.4307318530418611,310436.0,6810.704760932994,628.6965812770139,0.4639272627281259,0.7873131830685575,1123.5254934439897,692.7133324176317,1329.6334081242092,0.08410035600401353,1.6219198344613708,4.201212580522926,0.8109127859468679,59919.96757918596,0.5491531317439121,170476.9016060531,0.2887596316675809,0.4664379257238662,109758.44117793441,235312.0,1.738522408289185,0.5914316693048527,43702.068908274174,0.4881460221333365,151538.09852698445,0.1588389139889364,0.4555290376846926,107191.44891566038,1.2983402162700963,0.4872979713390194,36007.42169818282,0.5326268367639617,165346.54469765723,0.13217904702674993,0.5471743989270149,128756.70216031373,0.8905715842966876,0.0,3.0,True,False,True,False,False
control1_health,1,PB154766,7,58336.0,1050.4091629284899,272.5356895558276,0.9698098151349913,0.6087967804796743,306.8036138134984,243.39534905134013,313.82319863260585,0.66439982276387,1.2605155152277923,101940.0,1498.2497833620557,360.26939807635966,0.9457804497884659,0.6064988424593315,408.63485529638314,324.89918614343685,431.2365939945264,0.5706713189447891,1.257728159146507,1.7474629731212288,0.8240409176888632,48071.25097429752,0.6756710028227975,68877.90202775598,0.2705123485220163,0.4771729899426303,20806.651053458452,43604.0,1.7269228037989666,0.6260571993225332,36521.6727796793,0.5392666505725332,54972.84235936403,0.24972889591304565,0.4231531414476822,18451.169579684734,1.4795050254871798,0.5279176668843814,30796.60501536727,0.5528460040440016,56357.12165224552,0.1544700578510656,0.5861966020749989,25560.516636878252,0.9005812470008804,1.0,0.0,False,False,True,True,False
control1_health,1,PB154766,8,71136.0,1261.5218613006978,300.9537643131924,0.9306365943640598,0.7556387654105047,376.6699955742897,246.7145502105117,385.3517873320429,0.5617068797991858,1.5267441472458443,166096.0,2126.274169979695,459.8695417423637,0.8774220813523508,0.5312157775786788,510.5288419996749,432.538702603523,577.7586001090767,0.4616687844738482,1.180307886731791,2.334907782276203,0.786977759796625,55982.449920892715,0.6067376830426255,100776.70220264792,0.27676626097221885,0.4717170627817524,44794.25228175521,94960.0,1.6683258289529652,0.5907110774150564,42020.823202997446,0.4902411455328183,81427.09330841899,0.24831050112958034,0.4149775706131165,39406.27010542154,1.4234771208051051,0.5655926571454262,40233.99925869703,0.575008035957987,95506.5347404778,0.15289652604881102,0.582061241383538,55272.53548178077,0.9717064407192504,17.0,1.0,False,False,True,True,False
control1_health,1,PB154766,9,64880.0,1287.078210486802,287.4156948783719,0.8902549466231235,0.22249427402141364,307.77780364412234,300.0630442190829,347.3326935374786,0.4921651170859822,1.0257104617635178,228000.0,4062.8498551495554,538.7936675570872,0.6450189262132296,0.6812754291980266,749.527646054703,548.6746076974812,819.6371148258233,0.17357339773783387,1.3660694982771369,3.5141800246609125,0.8147204360579003,52859.06189143658,0.5784766733730049,131892.6815290451,0.27869605508468354,0.48451213608146476,79033.61963760853,163120.0,1.6815274074392124,0.630205252876852,40887.71680665016,0.5065523141374191,115493.92762333155,0.20645950060002027,0.45737010064174466,74606.21081668139,1.3778890486995086,0.5042583752699132,32716.28338751197,0.5372480308204366,122492.55102705956,0.115796994979238,0.5503694681188548,89776.26763954759,0.9162179308264541,0.0,0.0,False,False,False,True,True
control1_health,1,PB154766,10,54432.0,1018.9949493661167,263.25838049153225,0.968196371398079,0.5272025698501537,286.44176284834754,243.40091952616234,290.38767191463205,0.6587491882840104,1.1768310629473973,105872.0,1516.350288425444,367.1517630084338,0.9332534113747752,0.4846710569077381,396.1998654440552,346.55463548745206,417.6086684924057,0.5786179534868109,1.1432536889508744,1.9450323339212228,0.9452637066387914,51452.5940797627,0.6931856288963801,73388.94890251756,0.40751049143073514,0.427888420521983,22181.7357198596,51840.0,2.20913598336141,0.7315605078051322,39820.30156084895,0.5823051871155378,61649.814770296216,0.3332886567883197,0.4258706385105917,22077.133900389075,1.7177998238235852,0.6126408397336696,33347.2661883831,0.629352799469955,66630.83958548307,0.2287195903535106,0.647495242840622,33566.15338885784,0.946170410528357,0.0,0.0,False,False,False,True,True
control1_health,1,PB154766,11,50256.0,989.9238815542512,252.95834945739654,0.9558734023128423,0.43658564244889125,267.9476461712257,241.062503265187,292.5149568825499,0.6444573481714025,1.1115276849027949,55120.0,1045.3380951166241,264.91689962288586,0.9555178032798253,0.32729212020039433,274.0542800762514,258.9602493562378,299.06019460971396,0.6338777645791942,1.0582870566333507,1.0967844635466413,0.8345891847964572,41943.11407113075,0.8103767863654563,44667.96846446395,0.1321132222975017,0.5678614713423528,2952.879650980234,5200.0,1.4697056005993747,0.725741925739186,36472.88621994853,0.7184486805754666,39600.89127331972,0.15695711402051288,0.639129388704896,3323.472821265459,1.135516436209885,0.48152443260874805,24199.49188518524,0.4867302972298921,26828.573983311653,0.09255427588883276,0.5352946122850363,2783.531983882189,0.8995503066119851,0.0,0.0,False,False,False,True,True
control1_health,1,PB154766,12,80832.0,1365.3208511739213,320.8091315409096,0.9490888596656021,0.8516228042507313,447.48478784813915,234.55144670994545,441.27655727446023,0.5449087012870604,1.9078321371494866,81424.0,1387.5634918610403,321.98176453103036,0.9347262082424521,0.8516743321693964,449.3148905449243,235.47308356833685,441.27655727446023,0.531442849841931,1.908136945998451,1.0073238321456848,0.8050044868738698,65070.122682988644,0.8036147175573792,65433.524762392044,0.0802665852401644,0.6138548638570953,363.4020794034004,592.0,1.311392210555611,0.6230354846753062,50361.20429727435,0.622609848824547,50695.38433068991,0.13046654619296907,0.5644932996884391,334.18003341555595,1.1037074931078514,0.49883548467606603,40321.86989733577,0.4988471249528017,40618.128302156925,0.1269937447326837,0.5004364946303336,296.25840482115746,0.9968007729822939,0.0,0.0,False,True,False,False,False
control1_health,1,PB154766,13,49664.0,969.2375900532359,251.4640506110707,0.9777532779462141,0.5394773057217715,274.36481882150895,231.0152159974597,281.2205540141047,0.6643410079756037,1.187648257872875,192260.0,5180.129075763134,494.76563630751724,0.5221292531971116,0.6240090701039491,766.3502296334051,598.8391721883656,784.255060551094,0.0900362999222557,1.2797262858287912,3.87121456185567,0.8851335237148342,43959.27132177353,0.5696423821868181,109519.44439923763,0.35187305058237683,0.4587347356920902,65156.84691876173,142036.0,1.9295105751681063,0.6319622550232903,31385.773433476686,0.4996339740696471,96059.62785463035,0.24125919896257494,0.4529153887529625,64330.290156915784,1.3953207833438992,0.5271100082990386,26178.391452163458,0.5393985600444308,103704.76715414226,0.18815268326102821,0.5440983076600405,77281.54722680151,0.9687771508901358,0.0,0.0,False,False,False,True,True
control1_health,1,PB154766,14,62256.0,1096.651803615609,281.543604255242,0.965179374282968,0.6786037291871723,330.78966586637995,242.96652475141397,326.5333061113368,0.6505093796872689,1.36146189770307,154912.0,1708.5340546095176,444.1171966429734,0.9821091204179188,0.5557727078126905,488.10667909434375,405.7798181941873,486.0257194840619,0.6668799275572822,1.2028855482920016,2.488306347982524,0.9546654523835946,59433.65240359306,0.6694962993382321,103713.01072308421,0.3770801872873354,0.4778898109079946,44279.35831949115,92656.0,1.9976685641606844,0.6047211148508278,37647.517726153135,0.4853643148737727,75188.75674572587,0.2712725815198348,0.4051679224181136,37541.239019572735,1.4925197218026185,0.5360557954850317,33372.689603716135,0.5762451777382424,89267.29297378659,0.27460198312233447,0.6032486117474363,55894.60337007046,0.8886150503226746,0.0,0.0,False,False,False,True,True
control1_health,1,PB154766,16,53136.0,1003.5807358037436,260.10547177836844,0.9757244114730618,0.6532077549770091,299.76249454071063,226.9737848533341,302.65491900843114,0.6629703254165117,1.3206921439601984,129216.0,2448.5168106668143,405.61425149087006,0.7305209122465824,0.7748649480456542,560.0486189231061,354.0217506323218,602.182696529882,0.27084447251767657,1.5819610459605875,2.4317976513098465,0.7896575500150468,41959.243577599525,0.6055076000889106,78241.27005308867,0.2727923129216588,0.47689309247488354,36282.02647548914,76080.0,1.6558376761488438,0.6657089682621783,35373.11173757911,0.5974383727461008,77198.59677276015,0.15116026495427226,0.5497566382121588,41825.485035181046,1.2109157434225866,0.4554157803371858,24198.972903996706,0.48361953475142155,62491.38180243969,0.11488927056389094,0.5033176774243294,38292.40889844298,0.9048277077565087,0.0,0.0,False,False,False,True,True
control1_health,1,PB154766,17,46240.0,950.8944443027283,242.6408797967769,0.9754862664022615,0.5235328265677114,263.38280465902955,224.40359933042188,269.2675249635574,0.6426330682075306,1.1737013374335985,159352.0,2444.1736649163067,450.4367524221771,0.7565134827193316,0.5366071965107345,523.5845487065898,441.81748142310204,634.2696587414536,0.3351994225341821,1.1850697872345715,3.4461937716262976,0.8541792759188422,39497.24971848726,0.5692238105691318,90706.9526618123,0.3394671846751888,0.4518156649890201,50859.98577648401,112568.0,1.8905481640164032,0.5881913994467949,27197.970310419798,0.4597607163431008,73263.7896707058,0.23183599727349127,0.40663037797320023,45773.568387687206,1.446501371536882,0.5162867420291767,23873.09895142913,0.5802506504152005,92464.10164496303,0.14391527837440216,0.6059649761380456,68212.26543390751,0.852007562086494,0.0,0.0,False,False,False,True,True
