condition,rep,field,exp_B,exp_G,exp_R,n_nuclei,n_shape,n_intensity,pct_saturated,dapi_green_corr,nuc_area,nuc_circularity,nuc_solidity,nuc_aspect,cell_area,cell_nuc_area_ratio,red_cyto_mean,red_cell_cv,red_nc_ratio,green_nc_ratio,green_cell_cv,green_cyto_mean
control1_health,1,PB154766,0.2,0.7692307692307693,1.0,126,112,80,29.365079365079367,-0.0443437591608768,29652.0,0.6088586854718917,0.950669980682098,1.3693877068649254,71096.0,2.2411213944132857,0.5662804211391663,0.1544740775189466,0.8835089134565354,1.2563632714599349,0.1755528916006917,0.6210145741253503
control2_disease,1,PB154769,0.2,0.625,1.0,128,86,39,54.6875,0.28637107897310765,33768.0,0.6109666133867202,0.9511701263949732,1.3583736248281366,85532.0,2.5585512070271648,0.6222279137089876,0.19183251676988125,0.875233310145925,1.3513882902519565,0.20893377399432603,0.8709259928233205
treatment1,1,PB154796,0.2,0.7692307692307693,1.0,63,52,23,53.96825396825397,0.3934992920887203,35314.0,0.6266116981614146,0.9618198306918441,1.4262568570169982,113146.0,2.716376726055307,0.5335274242950578,0.15654655374999568,0.9340581776311883,1.4117005226009791,0.2252950277173,0.6244941878463298
treatment2,1,PB154799,0.2,0.625,1.0,127,91,41,51.181102362204726,0.7901852199148385,26544.0,0.6155595510521139,0.9591567852437418,1.4392507680049789,64624.0,2.143848288621647,0.54470071253237,0.1855029328491481,0.9861394327400653,1.2858839607863939,0.1927504671251598,0.8385064053759955
treatment3,1,PB154802,0.16666666666666666,0.625,1.0,137,99,51,43.06569343065693,0.5733256356761043,29056.0,0.6102060372708962,0.9539473684210527,1.3942279659813082,76452.0,2.4954001839926403,0.5692139999286742,0.1665626478422936,0.899521367022976,1.3168353557210666,0.19717148081755556,0.8915446328311226
treatment4,1,PB154805,0.16666666666666666,0.7692307692307693,1.0,110,84,25,65.45454545454545,0.3057005693345544,31272.0,0.622404219621334,0.9583694765737722,1.3802178770752627,88280.0,2.5566717105113783,0.631290960848689,0.17389401920370223,0.8838168851769478,1.2607587077891091,0.18599017931779194,0.739261321085478
control1_health,2,PB154808,0.125,0.625,1.0,146,105,73,23.28767123287671,0.040354405123979815,26352.0,0.6054778307702637,0.9540509823023218,1.4062755632516641,70088.0,2.2680288461538463,0.5713771058696244,0.14655262807302039,0.9162651697134303,1.3241731604513085,0.21018028398105792,0.7247459590046447
control2_disease,2,PB154811,0.2,0.7692307692307693,1.0,105,93,58,35.23809523809524,0.23611259016712835,32048.0,0.6348602896215721,0.964785335262904,1.3616152862956725,78044.0,2.3137821961138725,0.5900433990398224,0.1894992718303412,0.8912409613735299,1.3965495813207287,0.2345392241030496,0.6089475541025295
treatment1,2,PB154814,0.16666666666666666,0.7692307692307693,1.0,98,67,29,51.02040816326531,0.7038599129707684,29696.0,0.62566767623547,0.9594618941805297,1.3971430442909702,83636.0,2.7584837545126355,0.6165244882375794,0.2021136421993686,0.9029985132448121,1.4063470518317265,0.21322949832169585,0.6412691854304405
treatment2,2,PB154817,0.16666666666666666,0.7692307692307693,1.0,98,67,21,66.3265306122449,0.43096845107396103,29376.0,0.622151543417979,0.9616423390890055,1.3995521237079163,73472.0,2.282051282051282,0.6730909969122899,0.16264143494949262,0.8630110147356055,1.2975393495601486,0.20813660338398063,0.7294590937249886
treatment3,2,PB154820,0.16666666666666666,0.625,1.0,102,70,13,81.37254901960785,0.5919761021493982,26960.0,0.6314062518172753,0.9662116938530615,1.377448723346901,79069.5,2.9731213257285,0.7117201332945695,0.2594213921708166,0.9557726961458465,1.5988491763021837,0.3077586996381015,0.7517199519582833
treatment4,2,PB154823,0.16666666666666666,0.7692307692307693,1.0,96,68,11,75.0,0.3335262053972356,26720.0,0.6231143534817337,0.9601625352408496,1.3914020952644788,85826.0,2.6633926761163425,0.7621286970804716,0.1602471133536474,0.902049300125825,1.420649065198805,0.22066992088991433,0.7161136634367661
